FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P25,14.3847,82%,0.38%,1636511904
TZ_J1sp1,TZ02,Captive,GroupA,TZ_J1,Fem1,Gland,Gsp,Female,Juvenile,Non-reproductive,P27,14.6335,91%,0.48%,5788465901
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P27,14.5913,73%,0.14%,1412317971
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P34,15.2116,78%,0.10%,483342429
TZ_P1sp2,TZ08,Captive,GroupA,TZ_P1,Fem3,Gland,Gsp,Female,Adult,Reproductive,P34,15.2045,73%,0.19%,670576949
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P34,15.2182,78%,0.14%,590266770
TZ_J1sp1,TZ02,Captive,GroupA,TZ_J1,Fem1,Gland,Gsp,Female,Juvenile,Non-reproductive,P36,15.4162,82%,0.19%,2343630955
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P47,19.2793,89%,16.70%,1.72E+11
TZ_P1sp2,TZ08,Captive,GroupA,TZ_P1,Fem3,Gland,Gsp,Female,Adult,Reproductive,P47,19.1154,94%,19.30%,67493091843
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P47,19.0983,93%,2.14%,9384518528
TZ_P1sp2,TZ08,Captive,GroupA,TZ_P1,Fem3,Gland,Gsp,Female,Adult,Reproductive,P49,19.7226,76%,0.14%,494153499
TZ_J1sp1,TZ02,Captive,GroupA,TZ_J1,Fem1,Gland,Gsp,Female,Juvenile,Non-reproductive,P52,21.3645,82%,0.33%,3952158776
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P52,21.3566,83%,0.25%,2541203989
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P52,21.3487,83%,0.61%,3654657088
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P52,21.3544,82%,0.69%,2978410726
TZ_P1sp2,TZ08,Captive,GroupA,TZ_P1,Fem3,Gland,Gsp,Female,Adult,Reproductive,P53,21.3959,89%,1.37%,4781759502
